STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
784090,99999, 19430821,   84.9,15,   73.5,15, 1011.8,15, 9999.9, 0,  99.4,15,   6.9,15,  14.0, 999.9,   89.2*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19430822,   84.4,15,   72.8,15, 1011.0,15, 9999.9, 0,  99.4,15,   8.1,15,  15.9, 999.9,   88.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430823,   85.4,15,   72.0,15, 1010.5,15, 9999.9, 0,  99.4,15,   7.3,15,  15.9, 999.9,   92.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430824,   85.1,15,   72.7,15, 1011.6,15, 9999.9, 0,  99.4,15,   5.2,15,  13.0, 999.9,   93.4*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430825,   85.4,15,   75.2,15, 1012.6,15, 9999.9, 0,  99.4,15,   7.4,15,  15.0, 999.9,   90.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19430826,   84.3,15,   75.5,15, 1013.0,15, 9999.9, 0,  99.4,15,   8.8,15,  18.1, 999.9,   90.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430827,   84.2,15,   72.7,15, 1014.0,15, 9999.9, 0,  99.4,15,   5.8,15,  15.0, 999.9,   91.2*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19430828,   84.3,15,   72.6,15, 1014.3,15, 9999.9, 0,  99.4,15,   6.9,15,  15.0, 999.9,   89.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430829,   84.2,15,   74.9,15, 1014.7,15, 9999.9, 0,  99.4,15,   9.3,15,  21.0, 999.9,   89.2*,  75.4*,99.99 ,999.9, 010010,
784090,99999, 19430830,   83.1,15,   73.5,15, 1014.5,15, 9999.9, 0,  99.4,15,   6.5,15,  14.0, 999.9,   88.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19430831,   84.6,15,   73.4,15, 1013.6,15, 9999.9, 0,  99.4,15,   7.1,15,  14.0, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430901,   83.7,15,   74.0,15, 1012.4,15, 9999.9, 0,  99.4,15,   5.8,15,  13.0, 999.9,   89.2*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19430902,   83.2,15,   74.0,15, 1011.3,15, 9999.9, 0,  93.1,15,   7.2,15,  15.9, 999.9,   88.3*,  74.3*,99.99 ,999.9, 010010,
784090,99999, 19430903,   82.9,15,   74.1,15, 1012.8,15, 9999.9, 0,  93.1,15,   7.0,15,  14.0, 999.9,   90.3*,  73.4*,99.99 ,999.9, 010010,
784090,99999, 19430904,   82.8,15,   73.8,15, 1015.4,15, 9999.9, 0,  99.4,15,   5.1,15,  12.0, 999.9,   89.2*,  73.4*,99.99 ,999.9, 010010,
784090,99999, 19430905,   84.1,15,   74.0,15, 1015.3,15, 9999.9, 0,  99.4,15,   5.3,15,  11.1, 999.9,   88.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430906,   85.2,15,   73.4,15, 1014.1,15, 9999.9, 0,  99.4,15,   5.4,15,  12.0, 999.9,   90.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19430907,   83.8,15,   74.6,15, 1012.9,15, 9999.9, 0,  99.4,15,   7.3,15,  14.0, 999.9,   88.3*,  74.3*, 0.00I,999.9, 000010,
784090,99999, 19430908,   83.8,14,   73.8,14, 1012.4,14, 9999.9, 0,  99.4,14,   6.3,14,  16.9, 999.9,   89.2*,  73.4*, 0.00I,999.9, 000010,
784090,99999, 19430909,   84.5,15,   74.4,15, 1012.6,15, 9999.9, 0,  99.4,15,   5.5,15,  11.1, 999.9,   90.3*,  72.3*,99.99 ,999.9, 010010,
784090,99999, 19430910,   85.1,15,   75.4,15, 1013.1,15, 9999.9, 0,  99.4,15,   5.5,15,  14.0, 999.9,   90.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430911,   84.3,15,   74.5,15, 1012.9,15, 9999.9, 0,  99.4,15,   7.3,15,  19.0, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430912,   84.2,15,   72.9,15, 1011.4,15, 9999.9, 0,  99.4,15,   5.3,15,  16.9, 999.9,   90.3*,  74.3*, 0.00I,999.9, 000010,
784090,99999, 19430913,   87.0,15,   74.5,15, 1011.9,15, 9999.9, 0,  99.4,15,   4.2,15,   9.9, 999.9,   93.4*,  77.4*, 0.00I,999.9, 000000,
784090,99999, 19430914,   86.0,15,   73.4,15, 1013.9,15, 9999.9, 0,  99.4,15,   4.2,15,   9.9, 999.9,   92.3*,  76.3*, 0.00I,999.9, 000010,
784090,99999, 19430915,   84.1,15,   74.8,15, 1014.0,15, 9999.9, 0,  93.1,15,   9.2,15,  23.9, 999.9,   89.2*,  74.3*,99.99 ,999.9, 010000,
784090,99999, 19430916,   84.5,15,   74.1,15, 1014.2,15, 9999.9, 0,  99.4,15,  10.2,15,  26.0, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430917,   82.2,15,   72.7,15, 1015.7,15, 9999.9, 0,  99.4,15,   9.7,15,  23.9, 999.9,   90.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19430918,   83.6,15,   73.3,15, 1014.8,15, 9999.9, 0,  99.4,15,   4.8,15,  13.0, 999.9,   89.2*,  69.3*, 0.00I,999.9, 000000,
784090,99999, 19430919,   84.7,15,   72.9,15, 1013.1,15, 9999.9, 0,  99.4,15,   6.2,15,  12.0, 999.9,   88.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19430920,   84.1,15,   72.3,15, 1012.1,15, 9999.9, 0,  99.4,15,   3.7,15,   8.9, 999.9,   89.2*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19430921,   84.1,15,   73.5,15, 1012.9,15, 9999.9, 0,  99.4,15,   5.4,15,   9.9, 999.9,   89.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430922,   84.9,15,   74.0,15, 1013.6,15, 9999.9, 0,  99.4,15,   5.6,15,   9.9, 999.9,   90.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19430923,   85.8,15,   73.9,15, 1011.8,15, 9999.9, 0,  99.4,15,   5.1,15,   9.9, 999.9,   90.3*,  77.4*, 0.00I,999.9, 000000,
784090,99999, 19430924,   84.2,15,   73.4,15, 1010.0,14, 9999.9, 0,  99.4,15,   4.6,15,  11.1, 999.9,   90.3*,  72.3*, 0.00I,999.9, 000010,
784090,99999, 19430925,   84.8,15,   74.4,15, 1011.4,15, 9999.9, 0,  99.4,15,   4.1,15,   9.9, 999.9,   92.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19430926,   85.5,15,   72.7,15, 1012.3,15, 9999.9, 0,  99.4,15,   4.6,15,   9.9, 999.9,   92.3*,  78.3*, 0.00I,999.9, 000010,
784090,99999, 19430928,   82.4,14,   71.2,14, 1012.7,14, 9999.9, 0,  99.4,14,   5.4,14,  12.0, 999.9,   88.3*,  72.3*, 0.00I,999.9, 000010,
784090,99999, 19430929,   84.3,14,   73.6,14, 1012.4,14, 9999.9, 0,  99.4,14,   3.8,14,  12.0, 999.9,   88.3*,  74.3*, 0.00I,999.9, 000010,
784090,99999, 19430930,   83.9,15,   74.6,15, 1010.4,15, 9999.9, 0,  99.4,15,   3.1,15,   8.0, 999.9,   87.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19431001,   83.1,16,   74.2,16, 1009.1,16, 9999.9, 0,  99.4,16,   2.3,16,   8.9, 999.9,   88.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431002,   84.8,15,   74.1,15, 1010.2,15, 9999.9, 0,  99.4,15,   3.4,15,   9.9, 999.9,   91.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431003,   85.6,15,   74.4,15, 1012.1,15, 9999.9, 0,  99.4,15,   2.7,15,   8.9, 999.9,   91.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431004,   84.6,15,   73.1,15, 1011.9,15, 9999.9, 0,  99.4,15,   3.1,15,   7.0, 999.9,   91.2*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431005,   84.2,15,   73.2,15, 1011.6,15, 9999.9, 0,  99.4,15,   4.3,15,   7.0, 999.9,   90.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431006,   83.0,15,   73.1,15, 1011.3,15, 9999.9, 0,  99.4,15,   5.3,15,   9.9, 999.9,   90.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431007,   82.1,15,   72.6,15, 1011.5,15, 9999.9, 0,  99.4,15,   4.7,15,   9.9, 999.9,   89.2*,  70.3*,99.99 ,999.9, 010010,
784090,99999, 19431008,   83.4,15,   74.7,15, 1013.3,15, 9999.9, 0,  99.4,15,   1.9,15,   5.1, 999.9,   88.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431009,   84.1,15,   74.3,15, 1013.6,15, 9999.9, 0,  99.4,15,   4.1,15,  13.0, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431010,   85.1,15,   72.3,15, 1013.1,15, 9999.9, 0,  99.4,15,   5.4,15,   9.9, 999.9,   90.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431011,   85.6,15,   74.8,15, 1013.0,15, 9999.9, 0,  99.4,15,   5.1,15,  16.9, 999.9,   92.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431012,   83.3,15,   73.7,15, 1011.0,15, 9999.9, 0,  99.4,15,   4.5,15,   9.9, 999.9,   89.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431013,   84.4,15,   72.5,15, 1009.4,15, 9999.9, 0,  99.4,15,   5.9,15,  25.1, 999.9,   92.3*,  72.3*, 0.00I,999.9, 000010,
784090,99999, 19431014,   81.5,15,   72.5,15, 1008.6,15, 9999.9, 0,  92.9,15,   3.4,15,  15.9, 999.9,   88.3*,  71.2*,99.99 ,999.9, 010000,
784090,99999, 19431015,   83.7,15,   71.5,15, 1007.5,15, 9999.9, 0,  99.4,15,   4.3,15,  11.1, 999.9,   91.2*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431016,   84.5,15,   72.2,15, 1009.4,15, 9999.9, 0,  99.4,15,   4.7,15,   9.9, 999.9,   90.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431017,   85.1,15,   74.1,15, 1010.6,15, 9999.9, 0,  99.4,15,   5.4,15,  14.0, 999.9,   90.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19431018,   83.2,15,   73.8,15, 1010.4,15, 9999.9, 0,  99.4,15,   3.5,15,   9.9, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431019,   80.6,15,   73.4,15, 1009.0,15, 9999.9, 0,  80.3,15,   5.9,15,  15.9, 999.9,   88.3*,  71.2*,99.99 ,999.9, 010010,
784090,99999, 19431020,   81.2,15,   72.9,15, 1008.7,15, 9999.9, 0,  86.3,15,   2.4,15,   9.9, 999.9,   87.3*,  71.2*,99.99 ,999.9, 010010,
784090,99999, 19431021,   80.3,15,   72.5,15, 1009.4,15, 9999.9, 0,  93.0,15,   4.1,15,  12.0, 999.9,   84.4*,  72.3*,99.99 ,999.9, 010010,
784090,99999, 19431022,   81.4,15,   72.8,15, 1009.0,15, 9999.9, 0,  93.2,15,   1.4,15,   8.9, 999.9,   88.3*,  71.2*,99.99 ,999.9, 010000,
784090,99999, 19431023,   82.5,15,   74.2,14, 1010.4,15, 9999.9, 0,  99.4,15,   4.9,15,  13.0, 999.9,   87.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431024,   83.1,15,   73.6,15, 1010.4,15, 9999.9, 0,  99.4,15,   0.6,15,   5.1, 999.9,   89.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431025,   83.8,15,   74.4,15, 1008.0,15, 9999.9, 0,  99.4,15,   4.9,15,   9.9, 999.9,   88.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19431026,   83.2,15,   73.4,15, 1007.2,15, 9999.9, 0,  99.4,15,   2.4,15,  13.0, 999.9,   88.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431027,   87.2,15,   73.4,15, 1007.8,15, 9999.9, 0,  99.4,15,   8.1,15,  15.0, 999.9,   94.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431028,   80.0,15,   73.8,15, 1012.9,15, 9999.9, 0,  99.4,15,   6.2,15,  15.0, 999.9,   83.3*,  75.4*,99.99 ,999.9, 010000,
784090,99999, 19431029,   83.0,15,   73.1,15, 1013.0,15, 9999.9, 0,  99.4,15,   4.3,15,  12.0, 999.9,   90.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431030,   83.7,15,   73.4,15, 1012.1,15, 9999.9, 0,  99.4,15,   7.4,15,  14.0, 999.9,   89.2*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431031,   83.5,15,   73.7,15, 1013.0,15, 9999.9, 0,  99.4,15,   6.0,15,  15.9, 999.9,   91.2*,  74.3*,99.99 ,999.9, 010000,
784090,99999, 19431101,   83.1,15,   73.3,15, 1013.9,15, 9999.9, 0,  99.4,15,   5.6,15,  14.0, 999.9,   89.2*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431102,   83.0,15,   72.2,15, 1013.8,15, 9999.9, 0,  99.4,15,   7.3,15,  18.1, 999.9,   87.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19431103,   83.5,15,   72.8,15, 1012.7,15, 9999.9, 0,  99.4,15,   7.3,15,  12.0, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431104,   82.8,15,   72.7,15, 1012.3,15, 9999.9, 0,  99.4,15,   3.9,15,   8.9, 999.9,   87.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431105,   82.3,15,   74.5,15, 1011.9,15, 9999.9, 0,  99.4,15,   1.9,15,   7.0, 999.9,   88.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431106,   83.2,15,   71.7,15, 1012.7,15, 9999.9, 0,  99.4,15,   4.6,15,   8.9, 999.9,   88.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431107,   83.1,15,   72.7,15, 1013.4,15, 9999.9, 0,  99.4,15,   9.3,15,  19.0, 999.9,   85.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431108,   81.7,15,   71.6,15, 1014.7,15, 9999.9, 0,  99.4,15,   9.0,15,  19.0, 999.9,   85.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431109,   81.8,15,   71.3,15, 1013.7,15, 9999.9, 0,  92.8,15,   4.0,15,   9.9, 999.9,   87.3*,  70.3*, 0.00I,999.9, 000000,
784090,99999, 19431110,   81.5,15,   71.3,15, 1012.6,15, 9999.9, 0,  99.4,15,   4.7,15,   9.9, 999.9,   87.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431111,   81.0,15,   72.2,15, 1012.4,15, 9999.9, 0,  99.4,15,   4.1,15,   8.9, 999.9,   86.4*,  71.2*, 0.00I,999.9, 000000,
784090,99999, 19431112,   82.3,15,   72.7,15, 1012.7,15, 9999.9, 0,  99.4,15,   5.7,15,  16.9, 999.9,   87.3*,  71.2*, 0.00I,999.9, 000000,
784090,99999, 19431113,   81.9,15,   72.0,15, 1013.1,15, 9999.9, 0,  99.4,15,   6.1,15,  15.9, 999.9,   87.3*,  71.2*, 0.00I,999.9, 000000,
784090,99999, 19431114,   81.1,15,   72.0,15, 1015.1,15, 9999.9, 0,  99.4,15,   7.7,15,  20.0, 999.9,   85.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19431115,   82.4,15,   71.8,15, 1014.4,15, 9999.9, 0,  99.4,15,   8.4,15,  19.0, 999.9,   90.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431116,   80.0,15,   67.7,15, 1012.3,15, 9999.9, 0,  99.4,15,   0.9,15,   4.1, 999.9,   85.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431117,   82.4,15,   73.2,15, 1012.0,15, 9999.9, 0,  99.4,15,   3.7,15,   9.9, 999.9,   88.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431118,   82.7,15,   72.2,15, 1012.0,15, 9999.9, 0,  99.4,15,   3.5,15,   8.9, 999.9,   90.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431119,   80.3,15,   72.6,15, 1011.1,15, 9999.9, 0,  99.4,15,   1.5,15,   6.0, 999.9,   86.4*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19431120,   82.1,15,   70.4,15, 1010.3,15, 9999.9, 0,  99.4,15,   2.5,15,   7.0, 999.9,   88.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431121,   81.3,15,   69.9,15, 1010.1,15, 9999.9, 0,  99.4,15,   3.7,15,  11.1, 999.9,   86.4*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431122,   82.3,15,   72.5,15, 1009.7,15, 9999.9, 0,  99.4,15,   2.1,15,   5.1, 999.9,   89.2*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431123,   79.1,15,   72.3,15, 1011.2,15, 9999.9, 0,  86.5,15,   2.3,15,   8.9, 999.9,   86.4*,  71.2*,99.99 ,999.9, 010000,
784090,99999, 19431124,   78.7,15,   71.4,15, 1012.7,15, 9999.9, 0,  86.5,15,   2.7,15,   7.0, 999.9,   84.4*,  68.4*,99.99 ,999.9, 010010,
784090,99999, 19431125,   77.7,15,   72.6,15, 1014.4,15, 9999.9, 0,  86.4,15,   2.7,15,   7.0, 999.9,   85.3*,  72.3*,99.99 ,999.9, 010000,
784090,99999, 19431126,   80.0,15,   72.4,15, 1014.1,15, 9999.9, 0,  99.4,15,   3.1,15,   7.0, 999.9,   85.3*,  71.2*,99.99 ,999.9, 010000,
784090,99999, 19431127,   80.8,15,   71.1,15, 1013.4,15, 9999.9, 0,  99.4,15,   2.9,15,   7.0, 999.9,   87.3*,  70.3*, 0.00I,999.9, 000000,
784090,99999, 19431128,   81.1,15,   72.4,15, 1012.4,15, 9999.9, 0,  99.4,15,   2.8,15,   9.9, 999.9,   85.3*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431129,   81.9,15,   72.2,15, 1012.8,15, 9999.9, 0,  99.4,15,   2.9,15,   8.9, 999.9,   87.3*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431130,   81.3,15,   72.4,15, 1013.6,15, 9999.9, 0,  99.4,15,   4.1,15,  12.0, 999.9,   86.4*,  73.4*, 0.00I,999.9, 000000,
784090,99999, 19431201,   75.5,15,   73.4,15, 1017.5,15, 9999.9, 0,  55.7,15,   0.0,15, 999.9, 999.9,   76.3*,  73.4*,99.99 ,999.9, 010000,
784090,99999, 19431202,   74.9,15,   71.9,13, 1018.6,15, 9999.9, 0,  74.0,15,   4.8,15,   9.9, 999.9,   79.3*,  72.3*,99.99 ,999.9, 010000,
784090,99999, 19431203,   79.7,15,   68.6,15, 1019.4,15, 9999.9, 0,  99.4,15,  10.5,15,  28.0, 999.9,   84.4*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431204,   79.2,15,   69.1,15, 1018.6,15, 9999.9, 0,  99.4,15,   6.3,15,  14.0, 999.9,   84.4*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431205,   78.1,15,   68.2,15, 1017.2,15, 9999.9, 0,  99.4,15,   7.5,15,  21.0, 999.9,   82.4*,  70.3*, 0.00I,999.9, 000000,
784090,99999, 19431206,   76.8,15,   71.4,15, 1017.4,15, 9999.9, 0,  99.4,15,   6.5,15,  16.9, 999.9,   81.3*,  69.3*, 0.00I,999.9, 000000,
784090,99999, 19431207,   79.0,15,   68.4,15, 1017.8,15, 9999.9, 0,  99.4,15,   3.7,15,   8.9, 999.9,   84.4*,  67.3*, 0.00I,999.9, 000000,
784090,99999, 19431208,   78.1,15,   69.5,15, 1019.8,15, 9999.9, 0,  99.4,15,   5.6,15,  14.0, 999.9,   83.3*,  68.4*, 0.00I,999.9, 000000,
784090,99999, 19431209,   79.8,15,   70.5,15, 1020.7,15, 9999.9, 0,  99.4,15,   6.2,15,  16.9, 999.9,   86.4*,  69.3*, 0.00I,999.9, 000000,
784090,99999, 19431210,   78.8,15,   70.0,15, 1019.3,15, 9999.9, 0,  99.4,15,   6.8,15,  15.9, 999.9,   85.3*,  70.3*, 0.00I,999.9, 000000,
784090,99999, 19431211,   77.6,15,   67.2,15, 1016.7,15, 9999.9, 0,  99.4,15,   3.6,15,   9.9, 999.9,   83.3*,  68.4*, 0.00I,999.9, 000000,
784090,99999, 19431212,   78.4,15,   70.0,15, 1016.9,15, 9999.9, 0,  99.4,15,   4.1,15,   9.9, 999.9,   83.3*,  69.3*, 0.00I,999.9, 000000,
784090,99999, 19431213,   79.0,15,   68.5,15, 1018.0,15, 9999.9, 0,  99.4,15,   3.2,15,   8.0, 999.9,   86.4*,  69.3*, 0.00I,999.9, 000000,
784090,99999, 19431214,   78.9,15,   70.5,15, 1018.3,15, 9999.9, 0,  99.4,15,   3.8,15,   9.9, 999.9,   85.3*,  67.3*, 0.00I,999.9, 000000,
784090,99999, 19431215,   79.2,15,   69.8,15, 1018.0,15, 9999.9, 0,  99.4,15,   4.5,15,  12.0, 999.9,   85.3*,  68.4*, 0.00I,999.9, 000000,
784090,99999, 19431216,   78.9,15,   69.5,15, 1016.5,15, 9999.9, 0,  99.4,15,   4.1,15,   8.9, 999.9,   86.4*,  67.3*, 0.00I,999.9, 000000,
784090,99999, 19431217,   77.8,15,   69.1,15, 1016.0,15, 9999.9, 0,  99.4,15,   3.0,15,   5.1, 999.9,   84.4*,  67.3*, 0.00I,999.9, 000000,
784090,99999, 19431218,   78.6,15,   68.7,15, 1015.5,15, 9999.9, 0,  99.4,15,   3.2,15,   8.9, 999.9,   84.4*,  69.3*, 0.00I,999.9, 000000,
784090,99999, 19431219,   76.4,15,   71.2,15, 1017.3,15, 9999.9, 0,  99.4,15,   6.8,15,  14.0, 999.9,   78.3*,  72.3*,99.99 ,999.9, 010000,
784090,99999, 19431220,   71.6,15,   69.2,15, 1019.4,15, 9999.9, 0,  54.5,15,   3.2,15,   8.9, 999.9,   75.4*,  69.3*,99.99 ,999.9, 010000,
784090,99999, 19431221,   75.8,15,   69.9,15, 1018.9,15, 9999.9, 0,  86.7,15,   2.9,15,   6.0, 999.9,   80.2*,  69.3*,99.99 ,999.9, 010000,
784090,99999, 19431222,   79.5,15,   71.6,15, 1018.6,15, 9999.9, 0,  99.4,15,   5.5,15,  11.1, 999.9,   84.4*,  71.2*, 0.00I,999.9, 000000,
784090,99999, 19431223,   79.6,15,   72.2,15, 1019.1,15, 9999.9, 0,  99.4,15,   8.1,15,  15.9, 999.9,   85.3*,  71.2*, 0.00I,999.9, 000000,
784090,99999, 19431224,   78.2,15,   70.5,15, 1019.8,15, 9999.9, 0,  99.4,15,   8.0,15,  18.1, 999.9,   82.4*,  70.3*, 0.00I,999.9, 000000,
784090,99999, 19431225,   78.7,15,   69.7,15, 1018.9,15, 9999.9, 0,  99.4,15,   8.1,15,  19.0, 999.9,   84.4*,  70.3*, 0.00I,999.9, 000000,
784090,99999, 19431226,   79.4,15,   70.9,15, 1020.0,15, 9999.9, 0,  99.4,15,   8.3,15,  16.9, 999.9,   84.4*,  72.3*, 0.00I,999.9, 000000,
784090,99999, 19431227,   78.9,15,   71.3,15, 1019.5,15, 9999.9, 0,  99.4,15,   8.2,15,  16.9, 999.9,   84.4*,  70.3*,99.99 ,999.9, 010000,
